turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
15,0.185,0.73,2,4,0.0094,0.9906,8,0,0.5143,0.2129,-7.572,9,1
13,0.023,1.0,2,4,0.1541,0.8459,8,0,0.5206,0.362,-10.501,8,0
14,1.0,0.41,4,4,0.0085,0.9915,6,0,0.3625,0.0404,-1.609,6,0
15,0.495,0.75,2,4,0.0,1.0,9,0,0.999,0.9983,26.653,9,0
19,0.186,0.41,2,4,0.0284,0.9716,9,0,0.5997,0.4466,-28.556,9,0
2,0.569,0.39,5,1,0.0038,0.9962,9,0,0.9962,0.9929,13.464,9,0
15,0.0,0.73,2,0,1.0,0.0,4,1,0.8142,0.6284,-0.381,4,0
13,0.0,1.0,2,0,1.0,0.0,2,1,0.8886,0.7773,-14.15,2,0
1,1.0,1.0,5,8,0.0022,0.9978,8,0,0.5071,0.0249,-14.145,8,0
20,0.186,0.41,2,4,0.009,0.991,9,0,0.6511,0.384,-27.911,6,1
15,1.0,0.41,4,4,0.0087,0.9913,6,0,0.3483,0.0375,-1.943,6,0
16,0.108,0.49,2,4,0.0,1.0,9,0,1.0,0.9999,26.406,9,0
14,0.9,1.0,1,4,0.3418,0.6582,8,0,0.3472,0.0055,-14.119,8,0
16,1.0,0.73,1,4,0.1303,0.8697,7,0,0.4102,0.2185,-15.692,7,0
2,1.0,0.77,5,8,0.0003,0.9997,8,0,0.6444,0.2996,-6.156,8,0
21,0.13,0.41,2,4,0.0112,0.9888,9,0,0.6397,0.3762,-28.854,6,1
16,1.0,0.41,4,4,0.0088,0.9912,6,0,0.3332,0.0338,-2.272,6,0
3,0.569,1.0,5,1,0.0007,0.9993,9,0,0.9993,0.999,10.977,9,0
16,0.0,0.49,2,0,1.0,0.0,0,1,0.7972,0.5945,27.979,0,0
17,0.461,0.73,1,4,0.1138,0.8862,6,0,0.5383,0.3797,-11.183,6,0
14,0.0,1.0,1,0,1.0,0.0,3,1,1.0,1.0,-4.289,3,0
1,1.0,1.0,5,8,0.0022,0.9978,9,0,0.5641,0.2585,3.059,9,0
3,0.625,0.56,5,8,0.0024,0.9976,24,0,0.6874,0.4252,-5.657,8,1
22,0.13,0.41,2,4,0.0112,0.9888,9,0,0.6321,0.3634,-29.021,6,1
17,1.0,0.49,1,4,0.0,1.0,8,0,0.6979,0.3974,21.383,8,0
3,0.0,1.0,5,0,1.0,0.0,1,1,0.8606,0.801,12.79,1,0
17,1.0,0.41,4,4,0.009,0.991,9,0,0.3209,0.0037,-2.597,9,0
18,0.31,0.31,1,4,0.0767,0.9233,6,0,0.8366,0.7599,-10.83,6,0
2,0.59,0.29,5,8,0.0002,0.9998,24,0,0.6789,0.5252,1.625,24,0
15,1.0,1.0,0,4,0.0,1.0,8,0,0.5584,0.3257,-3.646,8,0
4,1.0,1.0,4,4,0.0995,0.9005,9,0,0.8556,0.7853,9.943,9,0
4,0.821,0.32,5,4,0.0017,0.9983,8,0,0.8232,0.6736,-9.232,8,0
23,0.065,0.41,2,4,0.0139,0.9861,9,0,0.6162,0.3502,-29.967,6,1
17,1.0,0.2,4,0,1.0,0.0,2,1,0.6769,0.4821,-0.635,2,0
16,0.591,0.51,0,4,0.0,1.0,6,0,0.3635,0.1227,-4.728,6,0
2,0.0,0.13,5,0,1.0,0.0,3,1,0.5147,0.2575,6.497,3,0
1,1.0,1.0,5,8,0.5348,0.4652,4,1,0.1912,0.0139,-13.694,4,0
17,0.0,0.11,4,0,1.0,0.0,5,1,0.4337,0.0554,-10.468,5,0
5,0.476,0.08,5,4,0.0075,0.9925,8,0,0.5243,0.1135,-8.964,8,0
5,0.228,0.47,4,1,0.7582,0.2418,4,1,0.3639,0.1221,11.757,4,0
24,0.006,0.41,2,4,0.0163,0.9837,9,0,0.5985,0.3323,-30.744,6,1
