turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
9,0.736,0.34,3,4,0.2244,0.7756,7,0,0.5472,0.418,-28.22,7,0
2,1.0,1.0,5,2,0.9961,0.0039,3,1,0.7568,0.6256,-28.049,3,0
10,0.875,0.82,3,4,0.0084,0.9916,7,0,0.8768,0.7707,-2.998,7,0
17,0.0,0.43,1,0,1.0,0.0,2,1,1.0,1.0,-32.379,2,0
15,0.878,0.17,1,4,0.0002,0.9998,8,0,0.7508,0.5886,-23.592,8,0
12,0.512,1.0,2,4,0.0002,0.9998,7,0,0.9979,0.9961,-25.844,7,0
18,0.466,1.0,1,4,0.0007,0.9993,8,0,0.9901,0.9847,-14.223,8,0
16,0.072,1.0,2,4,0.1047,0.8953,6,0,0.7099,0.6051,-30.547,6,0
9,0.0,0.68,2,0,1.0,0.0,5,1,0.9408,0.8816,-7.721,5,0
10,0.604,0.01,3,4,0.166,0.834,7,0,0.4451,0.2428,-27.968,7,0
3,0.765,1.0,5,8,0.017,0.983,22,0,0.5507,0.3312,-27.272,22,0
16,0.315,1.0,1,1,0.4787,0.5213,7,0,0.5213,0.0426,-13.79,7,0
11,0.533,0.25,3,4,0.0105,0.9895,7,0,0.8908,0.803,2.432,7,0
18,1.0,0.43,0,4,0.0,1.0,7,0,0.9192,0.8429,-32.642,7,0
12,0.0,0.0,2,0,1.0,0.0,3,1,0.9235,0.847,-11.915,3,0
18,0.0,0.94,1,0,1.0,0.0,1,1,1.0,1.0,-17.207,1,0
16,0.0,1.0,2,0,1.0,0.0,2,1,0.5183,0.0365,-31.045,2,0
10,1.0,0.68,1,4,0.0013,0.9987,6,0,0.9279,0.8695,-10.082,6,0
3,0.457,0.74,5,0,1.0,0.0,2,1,0.4755,0.2088,-29.479,2,0
16,0.0,0.3,1,0,1.0,0.0,4,1,1.0,1.0,-6.72,4,0
19,0.869,0.28,0,4,0.0,1.0,7,0,0.9188,0.8436,-32.575,7,0
16,0.878,1.0,1,1,0.0923,0.9077,6,0,0.9077,0.8155,-21.285,6,0
19,1.0,0.94,0,4,0.0,1.0,9,0,0.4915,0.0025,-20.13,9,0
17,0.019,1.0,1,4,0.0013,0.9987,6,0,0.9357,0.8917,-31.676,6,0
13,1.0,1.0,1,4,0.0004,0.9996,8,0,0.994,0.9892,-7.778,8,0
11,0.615,0.74,1,1,0.0031,0.9969,6,0,0.9969,0.9937,-18.265,6,0
4,1.0,0.74,5,4,0.6295,0.3705,3,1,0.3013,0.0613,-31.536,3,0
11,0.468,1.0,3,4,0.2844,0.7156,8,0,0.5871,0.3666,-32.358,5,1
17,1.0,0.3,0,4,0.0,1.0,9,0,0.4773,0.0058,-18.021,9,0
12,0.533,1.0,3,4,0.0047,0.9953,8,0,0.8144,0.7453,8.959,8,0
20,0.596,0.13,0,4,0.0,1.0,7,0,0.9165,0.843,-32.51,7,0
16,0.0,0.84,1,0,1.0,0.0,3,1,1.0,1.0,-26.035,3,0
17,0.0,0.44,1,0,1.0,0.0,0,1,1.0,1.0,-30.647,0,0
14,0.719,0.23,1,4,0.0002,0.9998,8,0,0.983,0.9727,7.19,8,0
5,0.697,0.74,5,4,0.018,0.982,6,0,0.9544,0.9352,-29.295,6,0
11,0.0,0.66,3,0,1.0,0.0,5,1,0.8471,0.7585,-30.613,5,0
13,0.187,1.0,3,4,0.007,0.993,8,0,0.7901,0.7027,3.81,8,0
17,1.0,0.84,0,4,0.0,1.0,7,0,0.9443,0.8954,-20.234,7,0
18,0.582,0.44,0,4,0.0,1.0,6,0,0.6479,0.3871,-30.73,6,0
12,0.615,1.0,1,1,0.0066,0.9934,6,0,0.9934,0.9868,-7.352,6,0
1,1.0,1.0,5,8,0.0201,0.9799,22,0,0.4019,0.063,-22.605,22,0
5,0.359,1.0,5,0,1.0,0.0,2,1,0.4507,0.2093,-30.142,2,0
12,1.0,0.66,2,4,0.5525,0.4475,1,1,0.4879,0.1049,-31.324,1,0
18,1.0,1.0,0,4,0.0,1.0,8,0,0.9932,0.9867,2.296,8,0
13,0.0,1.0,3,0,1.0,0.0,1,1,0.4984,0.0362,-1.078,0,1
21,0.596,1.0,0,4,0.0,1.0,7,0,0.5281,0.0672,-32.828,7,0
13,0.287,0.52,1,1,0.0045,0.9955,6,0,0.9955,0.991,-3.907,6,0
2,0.861,0.78,5,4,0.0047,0.9953,7,0,0.9401,0.8987,-20.458,7,0
6,1.0,1.0,5,4,0.6784,0.3216,3,1,0.343,0.1151,-31.876,3,0
13,0.539,0.6,2,4,0.0014,0.9986,8,0,0.9574,0.9165,-30.837,8,0
18,1.0,1.0,0,1,0.0,1.0,7,0,1.0,1.0,-14.354,7,0
19,0.476,0.37,0,4,0.0,1.0,8,0,0.9963,0.993,13.158,8,0
1,1.0,1.0,5,8,0.2076,0.7924,7,0,0.3651,0.0049,-5.105,7,0
14,0.036,1.0,2,4,0.0004,0.9996,9,0,0.8021,0.6597,-18.026,9,0
13,0.0,0.03,1,0,1.0,0.0,2,1,1.0,1.0,3.221,2,0
3,0.583,0.34,5,4,0.0036,0.9964,7,0,0.9127,0.8408,-17.624,7,0
7,0.606,1.0,5,4,0.0292,0.9708,6,0,0.9368,0.9132,-30.003,6,0
