turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
11,0.149,1.0,3,4,0.3454,0.6546,7,0,0.2899,0.0818,-15.741,9,1
10,0.886,0.7,5,4,0.0007,0.9993,8,0,0.9992,0.9987,-4.37,8,0
9,0.0,0.54,2,0,1.0,0.0,2,1,0.6278,0.2555,21.75,2,0
11,0.382,1.0,3,4,0.1716,0.8284,9,0,0.4269,0.1519,-19.064,9,0
11,0.0,0.81,3,0,1.0,0.0,2,1,0.6573,0.4218,-23.515,5,1
12,0.164,0.64,2,4,0.2304,0.7696,6,0,0.2784,0.096,-24.883,9,1
8,1.0,1.0,5,1,0.5281,0.4719,4,1,0.5279,0.056,8.027,4,0
8,0.058,0.34,4,4,0.2716,0.7284,7,0,0.4982,0.358,-15.782,6,1
15,0.633,1.0,3,4,0.6706,0.3294,3,1,0.479,0.3083,-14.612,3,0
12,0.649,1.0,3,4,0.5597,0.4403,0,1,0.3519,0.1606,-22.08,0,0
10,0.0,1.0,4,0,1.0,0.0,2,1,0.4584,0.1554,9.52,2,0
10,1.0,0.54,1,4,0.0,1.0,7,0,0.9998,0.9996,22.554,7,0
10,0.0,0.7,5,0,1.0,0.0,3,1,0.4704,0.1961,-18.276,3,0
12,1.0,0.81,2,4,0.2207,0.7793,8,0,0.3607,0.1764,-23.006,8,0
12,0.444,1.0,3,4,0.1684,0.8316,9,0,0.4452,0.1874,-18.637,9,0
12,0.0,0.81,2,0,1.0,0.0,4,1,0.5965,0.1929,-26.466,3,1
9,0.59,1.0,5,4,0.0,1.0,8,0,1.0,1.0,11.905,8,0
8,0.0,0.34,4,0,1.0,0.0,3,1,0.3874,0.1129,-14.605,3,0
16,0.721,1.0,3,4,0.4363,0.5637,7,0,0.2963,0.0472,-11.751,2,1
11,1.0,1.0,3,4,0.0453,0.9547,7,0,0.4797,0.0896,7.462,7,0
11,1.0,0.7,4,4,0.1755,0.8245,7,0,0.6413,0.5248,-19.687,7,0
13,0.353,1.0,3,4,0.2412,0.7588,8,0,0.3487,0.1479,-21.149,8,0
11,0.104,0.16,1,4,0.0009,0.9991,7,0,0.9439,0.8927,17.875,7,0
12,0.0,0.71,2,0,1.0,0.0,3,1,0.5623,0.1245,-27.654,5,1
13,1.0,0.81,1,4,0.1222,0.8778,6,0,0.5574,0.4225,-24.519,6,0
13,0.259,1.0,3,4,0.1844,0.8156,9,0,0.3775,0.0634,-19.362,9,0
9,0.0,0.86,5,0,1.0,0.0,5,1,0.5425,0.2501,4.115,3,1
9,1.0,0.34,3,4,0.3777,0.6223,5,1,0.3546,0.0815,-16.43,5,0
17,0.721,1.0,3,4,0.1813,0.8187,7,0,0.6282,0.4626,-9.048,7,0
12,0.836,1.0,3,4,0.1733,0.8267,7,0,0.4522,0.2208,5.15,7,0
12,0.315,0.26,4,4,0.2542,0.7458,7,0,0.6396,0.4604,-22.773,7,0
13,1.0,0.71,1,4,0.1589,0.8411,7,0,0.3606,0.1165,-29.972,7,0
14,0.055,0.87,1,4,0.1225,0.8775,6,0,0.6109,0.4755,-28.972,6,0
10,0.877,0.86,4,4,0.0005,0.9995,7,0,0.8899,0.7846,4.206,7,0
17,0.0,0.76,3,0,1.0,0.0,0,1,0.663,0.4867,-12.602,0,0
14,0.073,1.0,3,4,0.2135,0.7865,9,0,0.361,0.057,-20.097,9,0
13,0.673,1.0,3,4,0.4637,0.5363,5,1,0.4137,0.1471,2.828,7,1
10,0.628,0.34,3,4,0.2707,0.7293,7,0,0.554,0.3088,-18.148,7,0
14,0.004,1.0,3,4,0.312,0.688,6,0,0.3941,0.1867,-15.186,6,0
12,0.104,1.0,1,4,0.0003,0.9997,8,0,0.9969,0.995,20.621,8,0
12,0.0,0.26,4,0,1.0,0.0,5,1,0.2599,0.001,-21.886,2,1
14,0.757,0.25,1,4,0.121,0.879,7,0,0.4219,0.2115,-29.257,7,0
14,0.0,0.93,1,0,1.0,0.0,3,1,1.0,1.0,-28.253,3,0
18,0.633,0.76,2,4,0.0396,0.9604,6,0,0.6315,0.4284,-9.867,6,0
15,0.135,1.0,3,4,0.2018,0.7982,9,0,0.365,0.0532,-19.644,9,0
13,0.0,1.0,3,0,1.0,0.0,0,1,0.6948,0.4919,-7.266,0,0
15,0.004,1.0,3,4,0.3109,0.6891,6,0,0.3867,0.1834,-15.509,6,0
13,0.104,0.67,0,1,0.0,1.0,8,0,1.0,1.0,22.198,8,0
13,0.541,0.26,3,4,0.1611,0.8389,9,0,0.6568,0.5414,-19.395,9,0
15,1.0,0.93,0,4,0.0,1.0,7,0,0.5923,0.2855,-27.82,7,0
11,0.877,1.0,0,1,0.0,1.0,6,0,1.0,1.0,17.904,6,0
11,0.195,1.0,3,4,0.2218,0.7782,8,0,0.4053,0.2063,-11.101,8,0
15,0.0,1.0,3,0,1.0,0.0,2,1,0.4483,0.1393,-25.52,3,1
14,0.365,1.0,2,4,0.1269,0.8731,7,0,0.7297,0.6116,-10.343,7,0
15,0.0,0.18,3,0,1.0,0.0,2,1,0.5424,0.294,0.595,2,0
14,0.338,0.15,3,4,0.1863,0.8137,9,0,0.6213,0.4986,-20.78,9,0
15,0.531,1.0,1,4,0.1391,0.8609,7,0,0.4895,0.2873,-30.185,7,0
12,0.542,1.0,4,1,0.725,0.275,1,1,0.5442,0.2692,9.977,3,1
19,0.633,1.0,2,1,0.8276,0.1724,2,1,0.6421,0.4566,-8.269,2,0
11,0.0,1.0,3,0,1.0,0.0,3,1,0.7205,0.4746,-17.728,3,0
16,1.0,1.0,2,4,0.0948,0.9052,9,0,0.3721,0.0125,-22.321,9,0
16,0.649,0.18,2,4,0.529,0.471,3,1,0.5244,0.2034,-2.648,3,0
14,0.0,1.0,2,0,1.0,0.0,1,1,0.6562,0.3124,-13.14,2,1
16,0.395,1.0,0,4,0.0,1.0,7,0,0.5147,0.172,-27.491,7,0
15,0.128,0.03,3,4,0.1931,0.8069,9,0,0.5832,0.474,-22.006,9,0
1,1.0,1.0,5,8,0.1194,0.8806,25,0,0.5545,0.3291,-36.137,25,0
13,0.523,1.0,4,4,0.0047,0.9953,9,0,0.9896,0.9857,2.88,9,0
15,0.0,1.0,1,0,1.0,0.0,5,1,1.0,1.0,-29.698,5,0
20,0.147,1.0,2,4,0.2037,0.7963,7,0,0.7292,0.5663,-16.77,7,0
12,1.0,1.0,2,4,0.0852,0.9148,7,0,0.6344,0.4982,-20.408,7,0
15,1.0,1.0,1,4,0.0061,0.9939,7,0,0.8849,0.8401,-15.83,7,0
16,0.0,1.0,2,0,1.0,0.0,5,1,0.6699,0.3398,-25.493,3,1
17,0.469,0.18,2,4,0.0221,0.9779,7,0,0.8397,0.7877,0.019,7,0
15,0.0,0.03,3,0,1.0,0.0,0,1,0.4815,0.1408,-21.03,2,1
17,1.0,1.0,1,4,0.186,0.814,8,0,0.4785,0.2926,-21.482,8,0
2,0.615,1.0,5,4,0.0029,0.9971,7,0,0.9957,0.9948,-38.363,7,0
16,0.031,1.0,0,4,0.0,1.0,7,0,0.7309,0.623,-29.02,7,0
20,0.0,1.0,2,0,1.0,0.0,1,1,0.667,0.3339,-19.309,0,1
13,0.579,1.0,2,4,0.074,0.926,7,0,0.5752,0.348,-22.034,7,0
15,0.0,1.0,1,0,1.0,0.0,2,1,1.0,1.0,-19.055,2,0
1,1.0,1.0,5,8,0.1254,0.8746,23,0,0.2796,0.0974,-24.699,23,0
16,0.427,0.03,2,4,0.1184,0.8816,7,0,0.6532,0.5106,-21.556,7,0
18,0.321,0.8,1,1,0.8309,0.1691,3,1,0.8309,0.6617,-23.862,3,0
14,0.13,1.0,4,4,0.0006,0.9994,7,0,0.9959,0.9931,34.17,7,0
21,0.765,1.0,1,4,0.1585,0.8415,7,0,0.3566,0.1332,-19.057,7,0
16,0.673,1.0,0,4,0.0,1.0,7,0,0.7167,0.6012,-17.13,7,0
14,0.641,1.0,2,4,0.0722,0.9278,7,0,0.5812,0.3667,-21.148,7,0
18,0.469,1.0,2,4,0.0469,0.9531,6,0,0.4634,0.192,-3.693,6,0
2,0.369,0.45,5,4,0.0902,0.9098,7,0,0.6465,0.4795,-24.81,7,0
17,0.489,0.71,2,4,0.1174,0.8826,8,0,0.3064,0.0234,-19.883,8,0
3,0.186,1.0,5,4,0.5431,0.4569,3,1,0.2517,0.0417,-39.762,6,1
19,0.551,0.8,1,4,0.0293,0.9707,7,0,0.3915,0.1032,-21.555,7,0
14,0.0,0.82,4,0,1.0,0.0,3,1,0.611,0.2753,34.31,5,1
22,0.553,0.77,1,1,0.4166,0.5834,7,0,0.5834,0.1668,-19.738,7,0
17,0.523,1.0,0,4,0.0,1.0,7,0,0.6881,0.5618,-17.555,7,0
15,0.456,1.0,2,4,0.0653,0.9347,7,0,0.582,0.3543,-21.011,7,0
19,0.469,0.26,2,4,0.0007,0.9993,6,0,0.8281,0.6654,5.852,6,0
1,1.0,1.0,5,8,0.0125,0.9875,7,0,0.6913,0.5383,-29.625,7,0
18,0.178,0.48,2,4,0.1387,0.8613,9,0,0.2872,0.0124,-22.765,8,1
4,0.631,1.0,5,4,0.5148,0.4852,7,0,0.4344,0.2582,-42.107,7,0
15,0.94,0.82,3,4,0.0002,0.9998,8,0,0.9256,0.8527,25.849,8,0
23,0.267,0.53,1,1,0.5097,0.4903,0,1,0.5097,0.0195,-20.511,7,1
18,0.363,1.0,0,4,0.0,1.0,7,0,0.7526,0.6448,-17.64,7,0
16,0.517,1.0,2,4,0.0613,0.9387,7,0,0.6089,0.4125,-19.847,7,0
19,0.0,0.26,2,0,1.0,0.0,2,1,0.9535,0.907,-2.691,2,0
3,0.369,1.0,5,4,0.0986,0.9014,8,0,0.6711,0.4798,-18.168,7,1
20,0.071,1.0,1,4,0.0984,0.9016,9,0,0.2829,0.0407,-23.459,9,0
18,0.0,0.48,2,0,1.0,0.0,1,1,0.7417,0.4835,-21.463,1,0
5,0.24,1.0,5,4,0.7462,0.2538,4,1,0.25,0.0119,-43.887,7,1
24,0.46,0.53,1,4,0.1379,0.8621,8,0,0.4167,0.1701,-22.253,8,0
16,0.742,0.88,3,4,0.0012,0.9988,8,0,0.8066,0.6305,19.922,8,0
2,1.0,1.0,5,8,0.0228,0.9772,25,0,0.4264,0.0586,-23.785,25,0
17,0.579,1.0,2,4,0.0265,0.9735,7,0,0.4036,0.1298,-25.109,8,1
19,0.217,1.0,0,4,0.0,1.0,7,0,0.6991,0.5631,-17.847,7,0
20,0.649,0.26,1,4,0.0006,0.9994,6,0,0.8513,0.7502,-0.444,6,0
3,0.0,0.91,5,0,1.0,0.0,1,1,0.6942,0.542,-23.661,4,1
20,0.0,1.0,1,0,1.0,0.0,5,1,1.0,1.0,-23.567,5,0
19,1.0,0.48,1,4,0.0022,0.9978,9,0,0.8748,0.8197,-19.151,9,0
6,0.471,1.0,5,4,0.5045,0.4955,9,0,0.2636,0.0247,-46.026,6,1
17,0.575,0.94,3,4,0.009,0.991,7,0,0.5442,0.2293,11.986,8,1
18,0.394,0.91,2,4,0.025,0.975,7,0,0.4451,0.1955,-25.243,8,1
3,1.0,1.0,5,4,0.0035,0.9965,7,0,0.9644,0.941,-20.558,7,0
20,0.0,0.26,1,0,1.0,0.0,4,1,1.0,1.0,-11.749,4,0
20,0.057,1.0,0,4,0.0,1.0,7,0,0.6447,0.4804,-18.027,7,0
4,1.0,0.91,4,4,0.4088,0.5912,7,0,0.4782,0.2513,-23.559,7,0
21,0.321,1.0,0,4,0.0,1.0,6,0,0.6585,0.5117,-22.634,6,0
6,0.0,1.0,5,0,1.0,0.0,1,1,0.6565,0.4512,-44.128,1,0
25,0.46,0.53,1,1,0.1642,0.8358,8,0,0.8358,0.6717,-8.341,8,0
18,0.382,0.94,3,4,0.013,0.987,6,0,0.5964,0.2376,8.057,8,1
4,1.0,0.73,5,4,0.0004,0.9996,7,0,0.9962,0.9938,-16.898,7,0
19,0.208,0.81,2,4,0.0252,0.9748,7,0,0.475,0.1954,-25.219,8,1
20,0.903,1.0,1,4,0.1827,0.8173,7,0,0.363,0.0044,-18.77,8,1
7,1.0,1.0,4,4,0.2858,0.7142,9,0,0.4035,0.124,-42.87,9,0
21,1.0,0.26,0,4,0.0,1.0,7,0,0.627,0.4667,-8.584,7,0
5,0.385,0.51,4,4,0.4148,0.5852,7,0,0.4874,0.2701,-23.338,7,0
25,0.0,0.1,1,0,1.0,0.0,1,1,1.0,1.0,-6.79,1,0
19,0.185,0.78,3,4,0.003,0.997,7,0,0.7668,0.538,8.438,7,0
20,0.27,1.0,2,4,0.0503,0.9497,7,0,0.6949,0.5331,-23.826,7,0
5,1.0,0.47,5,4,0.0001,0.9999,7,0,0.9986,0.9978,-15.47,7,0
20,0.0,0.89,1,0,1.0,0.0,2,1,1.0,1.0,-24.307,2,0
1,1.0,1.0,5,8,0.1733,0.8267,24,0,0.2295,0.0656,-21.823,24,0
26,0.267,0.1,0,4,0.0,1.0,7,0,0.449,0.1085,-7.802,7,0
6,0.385,0.09,4,4,0.2725,0.7275,7,0,0.6278,0.4709,-21.08,7,0
19,0.0,0.77,3,0,1.0,0.0,5,1,0.9982,0.9964,7.002,5,0
6,1.0,0.21,5,4,0.0,1.0,7,0,0.9971,0.9947,-13.787,7,0
21,0.085,1.0,2,4,0.0448,0.9552,7,0,0.6523,0.4456,-23.901,7,0
21,0.117,0.89,0,4,0.0,1.0,6,0,0.4093,0.0069,-22.899,6,0
1,0.0,0.36,5,0,1.0,0.0,1,1,0.3659,0.0121,-13.608,1,0
8,0.492,1.0,4,4,0.5316,0.4684,5,1,0.2953,0.0851,-40.018,6,1
20,0.419,0.77,2,4,0.0,1.0,7,0,0.9994,0.999,1.813,7,0
22,0.147,1.0,2,4,0.0436,0.9564,7,0,0.6516,0.4522,-23.66,7,0
1,1.0,1.0,5,8,0.3092,0.6908,7,0,0.1726,0.0017,-16.136,7,0
2,1.0,0.36,4,4,0.0578,0.9422,6,0,0.4511,0.125,-8.624,6,0
9,0.658,1.0,4,4,0.579,0.421,3,1,0.5326,0.1388,-40.671,7,1
7,0.385,1.0,4,4,0.8299,0.1701,4,1,0.5498,0.4115,-19.983,7,1
21,0.095,0.83,2,1,0.0,1.0,7,0,1.0,1.0,-3.494,7,0
27,0.208,1.0,0,1,0.0,1.0,7,0,1.0,1.0,-16.489,7,0
7,1.0,1.0,5,4,0.0,1.0,8,0,1.0,1.0,-11.291,8,0
22,0.0,1.0,2,0,1.0,0.0,4,1,0.5354,0.0708,-20.501,2,1
2,0.113,1.0,5,8,0.2346,0.7654,7,0,0.2998,0.0371,-15.115,7,0
9,0.0,1.0,4,0,1.0,0.0,1,1,0.7183,0.4583,-34.4,1,0
8,1.0,1.0,4,4,0.159,0.841,8,0,0.8367,0.7132,-26.685,8,0
28,0.149,0.93,0,1,0.0,1.0,7,0,1.0,1.0,-10.88,7,0
21,0.0,0.89,2,0,1.0,0.0,2,1,0.9904,0.9809,-0.584,0,1
8,1.0,0.49,5,4,0.0061,0.9939,7,0,0.584,0.1743,1.819,7,0
23,1.0,1.0,1,4,0.0056,0.9944,8,0,0.6101,0.3002,-17.92,8,0
1,1.0,1.0,5,8,0.0695,0.9305,25,0,0.844,0.7984,-32.493,25,0
3,1.0,1.0,4,4,0.3784,0.6216,6,0,0.2902,0.0646,-6.823,6,0
9,1.0,0.87,4,4,0.0583,0.9417,8,0,0.94,0.8974,-26.103,8,0
3,0.38,1.0,5,8,0.2119,0.7881,7,0,0.2676,0.0188,-15.515,7,0
10,0.492,1.0,3,4,0.6857,0.3143,5,1,0.6113,0.4601,-33.088,5,0
22,0.939,0.89,1,4,0.0001,0.9999,6,0,0.6015,0.3342,-2.144,6,0
29,0.09,0.85,0,1,0.0,1.0,7,0,1.0,1.0,-9.803,7,0
24,1.0,0.2,1,1,0.9158,0.0842,2,1,0.9158,0.8316,-22.483,2,0
4,0.125,0.76,4,4,0.5299,0.4701,3,1,0.4315,0.0882,-12.652,3,0
3,0.0,1.0,5,0,1.0,0.0,5,1,0.2632,0.003,-17.992,2,1
9,0.0,0.73,4,0,1.0,0.0,2,1,0.438,0.1668,-25.813,2,0
11,0.284,1.0,3,4,0.1976,0.8024,7,0,0.689,0.613,-34.148,7,0
23,0.622,0.53,1,4,0.0001,0.9999,7,0,0.5008,0.0722,-2.553,6,1
