turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
1,1.0,1.0,5,8,0.8063,0.1937,2,1,0.4229,0.2206,-31.953,2,0
18,1.0,0.02,3,4,0.007,0.993,8,0,0.7534,0.6134,-32.396,8,0
13,0.643,0.55,2,4,0.0,1.0,7,0,1.0,1.0,-3.942,7,0
10,0.028,0.68,3,4,0.0003,0.9997,7,0,0.6785,0.4082,27.638,6,1
16,0.0,0.86,1,0,1.0,0.0,2,1,1.0,1.0,-21.124,2,0
16,0.073,0.75,1,4,0.0,1.0,8,0,0.9767,0.9554,6.057,8,0
12,0.386,1.0,1,4,0.1765,0.8235,9,0,0.4775,0.301,-15.852,9,0
12,1.0,1.0,2,4,0.0,1.0,6,0,1.0,1.0,-0.614,6,0
2,0.732,1.0,5,8,0.0622,0.9378,23,0,0.6208,0.4571,-29.716,23,0
19,1.0,0.02,3,4,0.0069,0.9931,8,0,0.7532,0.6145,-32.398,8,0
14,0.44,0.25,2,4,0.0,1.0,7,0,1.0,1.0,-2.348,7,0
3,0.961,1.0,5,4,0.0685,0.9315,6,0,0.9305,0.8676,-9.67,6,0
10,0.0,0.68,3,0,1.0,0.0,5,1,0.9871,0.9743,29.817,1,1
17,0.373,0.86,0,4,0.0,1.0,8,0,0.5717,0.3112,-23.343,8,0
16,0.0,0.29,1,0,1.0,0.0,2,1,1.0,1.0,3.025,2,0
13,0.206,1.0,1,4,0.1193,0.8807,9,0,0.3456,0.1083,-15.265,9,0
1,1.0,1.0,5,8,0.4783,0.5217,6,0,0.242,0.0042,-4.066,6,0
11,1.0,0.68,2,4,0.0,1.0,7,0,0.9955,0.991,27.843,7,0
17,1.0,0.29,0,4,0.0,1.0,7,0,1.0,1.0,2.149,7,0
4,0.606,0.67,5,4,0.3506,0.6494,6,0,0.6197,0.2921,-9.792,6,0
3,0.468,1.0,5,4,0.0092,0.9908,7,0,0.987,0.9802,-31.881,7,0
14,0.077,1.0,1,4,0.023,0.977,6,0,0.7048,0.586,-14.792,6,0
2,0.811,1.0,5,8,0.475,0.525,6,0,0.2269,0.0024,-4.603,6,0
13,0.632,1.0,2,4,0.0,1.0,6,0,1.0,1.0,5.34,6,0
5,0.85,0.35,5,4,0.0013,0.9987,6,0,0.9932,0.9882,-8.288,6,0
20,0.888,1.0,3,4,0.0551,0.9449,8,0,0.4985,0.281,-31.136,8,0
15,0.17,1.0,2,4,0.0,1.0,7,0,1.0,0.9999,-7.178,7,0
18,0.172,0.71,0,1,0.0,1.0,8,0,1.0,1.0,-22.912,8,0
14,0.0,1.0,1,0,1.0,0.0,4,1,1.0,1.0,-18.491,4,0
13,0.0,0.83,2,0,1.0,0.0,5,1,0.823,0.646,1.776,0,1
3,0.622,1.0,5,8,0.4522,0.5478,4,1,0.2022,0.0079,-5.202,6,1
1,1.0,1.0,5,8,0.2161,0.7839,6,0,0.2337,0.0535,-1.347,6,0
6,1.0,0.01,5,4,0.0001,0.9999,9,0,0.9888,0.9781,-5.566,9,0
21,0.888,1.0,3,4,0.0558,0.9442,8,0,0.4876,0.2592,-31.236,8,0
12,0.47,1.0,2,4,0.0003,0.9997,7,0,0.497,0.0014,23.456,6,1
15,1.0,1.0,0,4,0.0,1.0,8,0,0.3966,0.0881,-24.143,8,0
4,0.528,1.0,5,4,0.0006,0.9994,7,0,0.9981,0.9969,-29.056,7,0
14,1.0,0.83,1,4,0.0001,0.9999,7,0,0.7398,0.48,4.584,7,0
4,0.697,1.0,5,8,0.6188,0.3812,2,1,0.5426,0.4035,-7.552,2,0
2,0.722,0.63,5,8,0.1403,0.8597,22,0,0.2554,0.0177,0.006,22,0
21,0.0,1.0,3,0,1.0,0.0,3,1,0.6627,0.4596,-33.422,3,0
12,0.0,0.91,2,0,1.0,0.0,1,1,0.8045,0.6091,23.604,1,0
16,0.089,1.0,0,4,0.0,1.0,8,0,0.3687,0.0112,-26.31,8,0
4,0.0,0.75,5,0,1.0,0.0,1,1,1.0,0.9999,-29.958,1,0
14,0.0,0.33,1,0,1.0,0.0,0,1,1.0,1.0,4.708,0,0
7,1.0,1.0,5,4,0.0004,0.9996,6,0,0.9996,0.9992,-4.631,6,0
5,0.276,1.0,5,8,0.1332,0.8668,6,0,0.3593,0.0952,-10.861,24,1
3,0.491,0.23,5,4,0.3481,0.6519,4,1,0.2977,0.0638,15.855,6,1
22,1.0,1.0,2,4,0.6841,0.3159,1,1,0.4756,0.2672,-32.907,1,0
1,1.0,1.0,5,8,0.0092,0.9908,22,0,0.9861,0.9821,-19.472,22,0
13,1.0,0.91,1,4,0.0,1.0,6,0,0.7706,0.5675,28.511,6,0
5,1.0,0.75,4,4,0.0,1.0,6,0,0.9965,0.9941,-27.885,6,0
15,0.719,0.33,0,4,0.0,1.0,8,0,0.5945,0.3864,4.25,8,0
5,0.0,1.0,5,0,1.0,0.0,3,1,0.3958,0.0831,-12.165,3,0
22,0.0,1.0,2,0,1.0,0.0,3,1,0.6939,0.3878,-29.559,3,0
8,0.642,0.76,5,4,0.0008,0.9992,6,0,0.9992,0.9985,-4.159,6,0
14,0.483,0.18,1,1,0.0,1.0,6,0,1.0,1.0,31.804,6,0
4,0.771,0.23,5,4,0.0141,0.9859,7,0,0.9824,0.974,14.475,7,0
5,0.0,0.02,4,0,1.0,0.0,3,1,0.8381,0.7363,-29.445,3,0
2,0.954,1.0,5,4,0.5231,0.4769,3,1,0.4742,0.2741,-11.248,3,0
6,1.0,1.0,4,8,0.0972,0.9028,7,0,0.3712,0.1197,-12.844,7,0
